id,name,category,question,response
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Location & Accessibility,Where is the hotel located?,Marrakech in the Hivernage neighbourhood
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Location & Accessibility,Can I have the hotel location on Google Maps?,"https://www.google.com/maps/place/Sofitel+Marrakech+Palais+Imperial/@31.6221597,-8.0031695,19z/data=!4m10!3m9!1s0xdafef735f661335:0x558f264f4729cdc9!5m2!4m1!1i2!8m2!3d31.6215776!4d8.0008053!15sChFzb2ZpdGVsIG1hcnJha2VjaCIDiAEBWhMiEXNvZml0ZWwgbWFycmFrZWNokgEFaG90ZWzgAQA!16s%2Fg%2F11p56jgq6n?entry=ttu"
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Location & Accessibility,How far is the hotel from the city center?,The hotel is located in the city centre
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Location & Accessibility,Are there any public transportation options?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Location & Accessibility,Do you offer airport shuttle service?,We provide private transfers
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Location & Accessibility,Can I arrange for a private transfer?,"Yes, feel free to contact our concierge"
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Location & Accessibility,"Is parking available at the hotel, and if so, is there a fee?","Yes, the parking is free of charge"
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Location & Accessibility,Are there electric vehicle charging stations?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Hotel Location & Accessibility,Are there subway or bus stops nearby?,A bus station is close to the hotel
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Check-in & Check-out,Can I request an early check-in?,"We will be glad to offer an early check-in according to availability. A supplement is charged for guaranteed early check-in (starting from 1 800,00 MAD)"
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Check-in & Check-out,How late can I check-out? Is there a fee for late check-out?,Late checkouts from 12:00 PM to 2:00 PM are charged at 25% of the daily rate. Late checkouts from 2:00 PM to 5:00 PM are charged at 50% of the daily rate. Checkouts beyond 5:00 PM are charged at 100% of the daily rate
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Check-in & Check-out,Can I store my luggage at the hotel before check-in or after check-out?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Check-in & Check-out,What documents are required at check-in?,Passports or ID. Marriage certificate is mandatory for Moroccan guests
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Room Information,Are the rooms equipped with air conditioning and heating?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Room Information,Are there any rooms with balconies?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Room Information,Do you offer rooms with accessibility features for guests with disabilities?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Room Information,Are there ramps and elevators?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Room Information,What are the conditions for baby cots and extra beds?,"Baby cots are free of charge and extra beds are at 700,00 MAD / night for child under 12"
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Room Information,Do you provide baby crib bedding?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Room Information,Do you provide dental kits and shaving kits?,Yes
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Room Information,Do the rooms come with a minibar or refrigerator?,"Yes, the products will be charge to your account on consumption"
55ae1399-d076-40b3-bc7f-edabf16100d4,Sofitel Marrakech Palais Impérial & Spa,Room Information,Are there tea and coffee making facilities in the rooms?,In all our suites and on request for the rooms
